,latitude,longitude,defaut_36mois
125,48.8811,2.5929,0.0
126,,,0.0
127,48.7545,7.753725,0.0
128,47.4292,-2.314625,0.0
129,48.8117,2.4394,0.0
130,48.8129,2.3417,0.0
131,49.2989,6.1,0.0
132,43.3838,5.164,0.0
133,48.0938,2.9943833333333334,0.0
134,49.2989,6.1,0.0
135,48.8129,2.3417,0.0
136,43.578,7.0545,0.0
137,43.6109,3.8764,0.0
138,47.1906,-1.5688,0.0
139,43.3838,5.164,0.0
140,42.9106,3.0294,0.0
141,44.7552,-0.5486500000000001,0.0
142,44.7552,-0.5486500000000001,0.0
143,48.8486,2.4377,0.0
144,48.7269,2.283,0.0
145,43.2708,5.3821,0.0
146,48.8129,2.3417,0.0
147,45.7485,4.8577,0.0
148,48.8453,2.7977,0.0
149,50.6693,2.9705,0.0
150,48.8354,2.2413,0.0
151,49.3148,6.2713,0.0
152,48.8166,6.145733333333333,0.0
153,48.892,2.2067,0.0
154,48.8702,2.4991,0.0
155,45.6971,4.8859,0.0
156,48.112,-1.6743,0.0
157,48.803,2.2669,0.0
158,45.8415,-0.2946764705882353,0.0
159,43.7031,7.2661,0.0
160,48.7651,2.2665,0.0
161,48.9833,2.2333,0.0
162,49.4835,5.754925,0.0
163,43.6043,1.4437,0.0
164,48.7872,2.4033,0.0
165,44.6613,-1.1725,0.0
166,46.0316,4.792544444444444,0.0
167,48.8854,2.4348,0.0
168,50.334,3.996811111111111,0.0
169,45.7485,4.84435,0.0
170,48.8453,2.7977,0.0
171,49.0776,2.2982750000000003,0.0
172,48.7981,2.6068,0.0
173,48.8354,2.63,0.0
174,48.8667,2.4167,0.0
175,45.7964,5.049325,0.0
176,48.9068,2.5065,0.0
177,48.95,2.3833,0.0
178,43.2876,5.3792,0.0
179,48.7533,2.2967,0.0
180,50.6693,2.9705,0.0
181,48.8354,2.2413,0.0
182,48.7183,2.2498,0.0
183,46.1676,5.37881052631579,0.0
184,48.5839,7.7455,0.0
185,43.6043,1.4437,0.0
186,50.6083,2.9566,0.0
187,44.8404,-0.5805,0.0
188,43.5887,1.3192,0.0
189,47.0611,-1.0217,0.0
190,47.8661,1.868933333333333,0.0
191,43.3838,5.164,0.0
192,43.2256,-0.6442473684210527,0.0
193,48.8453,2.7977,0.0
194,48.9065,2.3334,0.0
195,44.8404,-0.5805,0.0
196,49.3779,1.1047,0.0
