,COD_CPPOP_CRI,IRPAR_USAGE_V12_MAX,IRPRO_USAGE_V12_MAX,QUA_INT_1_BRP,QUA_INT_MAX_BRP,CODTYP_CRT_TRAVAIL_CRI,COD_SITU_LOGT_CRI,COD_TYPE_MARCHE_CRI,IND_PRIMO_ACCEDT_CRI,TOP_NAT_FR_CRI,g_MNT_TOT_ASSURANCE_CRI,g_COUT_RACHAT_BRP,g_quotite,g_PCT_TEG_TAEG_CRI,g_MOY_ANC_PROF_BRP,g_BEST_APPORT_TX_BRP,defaut_36mois
108108,0,0,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_1,grp_2,grp_2,,0
108109,1,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_2,grp_3,grp_2,,0
108110,1,2,1,0,0,1,1,0,0,1,grp_2,grp_3,grp_3,grp_3,grp_1,grp_2,0
108111,0,0,1,0,0,0,3,0,1,1,grp_1,grp_3,grp_3,grp_3,grp_1,grp_3,0
108112,0,0,1,0,0,0,1,0,0,1,grp_3,grp_3,grp_3,grp_1,grp_1,,0
108113,0,0,1,2,1,0,2,0,0,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_3,0
108114,0,0,1,2,1,2,2,0,1,1,grp_1,grp_3,grp_3,grp_3,grp_1,,0
108115,2,0,1,2,1,0,3,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_1,grp_1,0
108116,2,2,1,2,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_1,grp_2,0
108117,2,0,1,2,1,0,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_2,grp_1,0
108118,0,0,1,1,0,0,3,0,1,1,grp_3,grp_3,grp_1,grp_2,grp_1,,0
108119,1,0,1,0,0,0,3,0,1,1,grp_3,grp_3,grp_3,grp_2,grp_1,grp_2,0
108120,0,0,1,1,0,0,3,0,1,1,grp_2,grp_3,grp_3,grp_3,grp_1,,0
108121,0,0,1,2,1,2,1,0,0,1,grp_1,grp_3,grp_3,grp_1,grp_2,grp_3,0
108122,2,0,1,0,0,0,3,0,1,1,grp_1,grp_1,grp_3,grp_3,grp_3,grp_2,0
108123,0,1,1,0,0,1,1,0,1,1,grp_3,grp_3,grp_1,grp_3,grp_2,grp_1,0
108124,0,2,1,0,0,0,3,0,1,1,grp_2,grp_3,grp_4,grp_3,grp_1,grp_4,0
108125,1,0,1,0,0,2,3,0,1,1,grp_1,grp_3,grp_3,grp_1,grp_1,grp_3,0
108126,2,2,1,1,0,0,3,0,1,1,grp_2,grp_1,grp_1,grp_3,grp_2,grp_1,0
108127,2,1,0,2,1,0,3,0,1,1,grp_1,grp_1,grp_1,grp_2,grp_2,,0
108128,0,2,1,0,0,0,2,0,0,0,grp_2,grp_3,grp_4,grp_2,grp_3,grp_4,0
108129,0,2,1,2,1,0,2,0,1,0,grp_1,grp_3,grp_4,grp_3,grp_3,grp_4,0
108130,0,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_4,grp_1,grp_2,grp_3,0
108131,1,0,1,0,0,0,1,0,0,1,grp_2,grp_3,grp_2,grp_2,grp_1,,0
